userID,recommended_itemIDs
1,260 1198 1196 1197 318 858 593 2762 1270 912
3,260 1198 318 1097 1207 2762 919 912 858 2028
11,2762 318 2028 2858 260 593 3147 1198 1197 457
29,2028 2762 593 1198 260 2858 457 1196 1270 589
31,260 1198 318 2762 2028 593 858 1196 2858 1197
33,260 1198 2762 318 541 858 1197 2858 2028 593
35,260 1196 1197 1198 318 858 1136 541 2858 2396
51,2762 318 593 2028 1307 1198 1617 858 2396 3147
53,858 593 2028 1193 2762 1617 912 1304 608 2396
55,260 858 1136 318 750 608 593 1617 541 919
57,858 2028 260 593 2858 1196 318 2762 1214 1213
67,260 318 1198 1197 593 2762 1617 858 457 1291
73,260 919 912 1148 318 1207 2396 608 1097 1198
79,858 2028 2762 2858 1198 318 1304 260 593 1193
85,2762 318 2858 593 260 2028 1198 1197 858 1617
89,318 260 1307 858 2396 2028 1198 1207 912 590
91,2762 318 260 593 858 1198 2858 457 3408 2028
97,260 1196 1198 318 593 541 750 1617 2762 912
117,318 260 2762 1198 1197 2858 858 2396 593 912
119,260 1198 1196 2762 858 2028 318 593 1240 1214
125,858 260 593 1193 318 608 2858 1198 1617 1136
127,318 2762 2028 2858 1198 260 858 593 1197 1196
129,2762 1198 260 318 1196 593 2028 1197 457 1291
137,318 2858 2762 593 858 2396 608 1617 1193 260
139,260 2858 1198 1196 593 1197 1214 858 2028 1089
157,2028 858 2858 593 1198 260 318 2762 1213 1196
159,2762 260 318 2028 1198 593 2858 919 858 1270
161,858 750 1219 1252 912 908 913 541 608 904
173,1198 260 318 593 2762 2028 1197 2858 1270 858
179,858 318 2858 1198 593 1197 608 1196 1213 1193
181,858 1198 318 2028 2762 2858 260 608 593 1193
185,260 1197 1198 318 2762 2858 541 1240 2028 2396
187,260 318 2762 858 593 1198 2858 2028 1196 919
189,1198 260 2762 318 1197 593 457 589 1291 1270
199,2858 2028 318 593 858 608 2762 260 1193 1617
201,260 1198 2762 1196 1270 318 1097 2028 1291 3147
209,858 318 2858 541 2762 750 1198 1617 2028 1193
213,858 1198 1196 912 750 593 908 924 1136 608
229,2858 858 260 593 1198 1617 318 1213 2762 608
231,2762 318 260 1198 2028 2858 1197 593 1196 541
235,1198 260 858 593 1196 2762 318 1387 457 1197
259,1198 593 2028 2762 1240 1200 1270 1291 1197 318
261,912 750 923 1207 904 260 1193 908 2396 1148
263,1198 318 260 1197 1196 2762 2858 2028 858 2716
267,2762 318 593 2858 1198 260 858 1196 1213 608
269,2858 318 2762 2396 1197 260 2997 593 1198 2959
271,2997 608 3160 2692 1148 2599 2858 2908 593 3481
273,260 1198 318 2028 858 1196 1197 1291 593 1270
